desc,veganMean,VegetarianMean,LactoseMean,NutMean,MeanAll
"DietTest Questionair, sould be <3",1.530701754385965,1.2391304347826086,1.1666666666666665,1.0,6.0368
DietTest Ratings sould be <0 ,-0.2616822429906542,-1.0930232558139534,1.0,1.0,0.5878787878787879
